Journal,Entry #,Deposit Date,Period Posting Date,GL Account,Description,Debit,Credit,BUN
"DD",1,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 46af0d1d-1edd-4e3d-987b-a7aba1aa5cd3-PARK",4023.50,,"354",
"DD",1,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 46af0d1d-1edd-4e3d-987b-a7aba1aa5cd3-PARK",,4023.50,"354",
"DD",2,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 28371bb4-1d29-4d77-938a-2c179f65b9ed-PARK Village",904.32,,"399",
"DD",2,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 28371bb4-1d29-4d77-938a-2c179f65b9ed-PARK Village",,904.32,"399",
"DD",3,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch f655587c-0e20-4c94-9fd5-9677756f1a6e-PARK Village",893.27,,"399",
"DD",3,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch f655587c-0e20-4c94-9fd5-9677756f1a6e-PARK Village",,893.27,"399",
"DD",4,"04/14/2023","04/2023","1050-000","RP : ACH Deposit 04/13/2023-PARK Village",875.65,,"399",
"DD",4,"04/14/2023","04/2023","3400-000","RP : ACH Deposit 04/13/2023-PARK Village",,875.65,"399",
"DD",5,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch b78c3ce0-dfb6-48bf-a26b-da6360219d3d-PARK Estates",2124.02,,"212",
"DD",5,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch b78c3ce0-dfb6-48bf-a26b-da6360219d3d-PARK Estates",,2124.02,"212",
"DD",6,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 6b145cf7-12a4-4761-9450-ff82cb55ab20-PARK",318.33,,"309",
"DD",6,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 6b145cf7-12a4-4761-9450-ff82cb55ab20-PARK",,318.33,"309",
"DD",7,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch ac5648e6-39c3-4c36-bd3b-9625b1986383-PARK",2255.00,,"309",
"DD",7,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch ac5648e6-39c3-4c36-bd3b-9625b1986383-PARK",,2255.00,"309",
"DD",8,"04/14/2023","04/2023","1050-000","CKS 04/14/2023 Batch 3c336b18-b56a-4c80-8677-2600f850a2ac-PARK Cove",1237.75,,"398",
"DD",8,"04/14/2023","04/2023","3400-000","CKS 04/14/2023 Batch 3c336b18-b56a-4c80-8677-2600f850a2ac-PARK Cove",,1237.75,"398",
"DD",9,"04/14/2023","04/2023","1055-000","CKS 04/14/2023 Batch 7a83c8e6-32cb-4311-94cb-9d5844c63ffa-PARK Palms MHP",1304.17,,"324",
