Journal,Entry #,Deposit Date,Period Posting Date,GL Account,Description,Debit,Credit,BUN
"DD",1,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 0ecd86b4-d224-437d-be1f-ff6e3149b4e6-PARK NUMBER 1 MHP",9578.40,,"408",
"DD",1,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 0ecd86b4-d224-437d-be1f-ff6e3149b4e6-PARK NUMBER 1 MHP",,9578.40,"408",
"DD",2,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 18767785-0fb9-4b53-bbb9-177e5b40c563-PARK NUMBER 1 MHP",5750.07,,"408",
"DD",2,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 18767785-0fb9-4b53-bbb9-177e5b40c563-PARK NUMBER 1 MHP",,5750.07,"408",
"DD",3,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 2b79ae84-81e2-44e0-8b35-52ed74cefe17-PARK NUMBER 1 MHP",7968.02,,"408",
"DD",3,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 2b79ae84-81e2-44e0-8b35-52ed74cefe17-PARK NUMBER 1 MHP",,7968.02,"408",
"DD",4,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 405d7615-156d-4e2e-b974-3fc5b85b2b43-PARK NUMBER 1 MHP",9349.09,,"408",
"DD",4,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 405d7615-156d-4e2e-b974-3fc5b85b2b43-PARK NUMBER 1 MHP",,9349.09,"408",
"DD",5,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 439c777d-bdc2-4d38-8941-b3412ead3f5f-PARK NUMBER 1 MHP",9380.81,,"408",
"DD",5,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 439c777d-bdc2-4d38-8941-b3412ead3f5f-PARK NUMBER 1 MHP",,9380.81,"408",
"DD",6,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch 9d55084b-8c81-4ef4-a5f0-3bdc87f34ca7-PARK NUMBER 1 MHP",7093.21,,"408",
"DD",6,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 9d55084b-8c81-4ef4-a5f0-3bdc87f34ca7-PARK NUMBER 1 MHP",,7093.21,"408",
"DD",7,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch c44f846f-4d04-4e21-8956-5d89b81a1e9b-PARK NUMBER 1 MHP",8430.37,,"408",
"DD",7,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch c44f846f-4d04-4e21-8956-5d89b81a1e9b-PARK NUMBER 1 MHP",,8430.37,"408",
"DD",8,"04/03/2023","04/2023","1050-000","CKS 04/03/2023 Batch c6dadbbe-b5e9-4af2-835e-ae8c3ad460d7-PARK NUMBER 1 MHP",5751.82,,"408",
"DD",8,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch c6dadbbe-b5e9-4af2-835e-ae8c3ad460d7-PARK NUMBER 1 MHP",,5751.82,"408",
